text_id,text_type,sent_count,word_count,avg_sent_length,noun_ratio,verb_ratio,adj_ratio,max_consecutive_nouns,consecutive_nouns_groups,three_plus_consecutive_nouns,max_syntactic_depth,flesch_kincaid_grade,participles_count,gerunds_count,passive_constructions,modal_constructions,pointer_words,bureaucratic_phrases,complex_sentences,complex_sentences_ratio,avg_clause_length
62,original,13,178,13.692307692307692,42.69662921348314,16.853932584269664,12.359550561797752,3,60,3,9,13.955030250648232,5,0,1,4,0,3,1,0.07692307692307693,7.04
62,paraphrased,26,237,9.115384615384615,48.10126582278481,13.502109704641349,11.814345991561181,3,82,6,7,7.5044011684518,1,2,2,2,0,0,1,0.038461538461538464,6.878787878787879
63,original,14,211,15.071428571428571,32.70142180094787,11.374407582938389,8.530805687203792,2,59,0,7,13.085050778605282,9,0,8,3,2,0,1,0.07142857142857142,8.44
63,paraphrased,8,147,18.375,28.57142857142857,12.925170068027212,7.482993197278912,2,38,0,9,12.05464285714286,1,0,5,2,0,0,1,0.125,10.846153846153847
64,original,18,217,12.055555555555555,36.405529953917046,12.903225806451612,12.442396313364055,3,64,1,6,9.676487455197137,2,0,5,7,1,4,1,0.05555555555555555,8.115384615384615
64,paraphrased,20,187,9.35,34.75935828877005,10.16042780748663,10.695187165775401,2,55,0,5,4.717085561497328,0,0,2,8,0,2,1,0.05,7.0
65,original,10,79,7.9,44.303797468354425,8.860759493670885,6.329113924050633,4,25,2,10,6.223291139240505,3,0,1,0,2,1,1,0.1,7.454545454545454
65,paraphrased,9,78,8.666666666666666,46.15384615384615,11.538461538461538,5.128205128205128,3,25,1,9,7.266410256410257,1,0,0,2,2,1,1,0.1111111111111111,6.7272727272727275
66,original,11,118,10.727272727272727,43.22033898305085,13.559322033898304,13.559322033898304,4,35,3,7,14.261771956856702,4,0,2,8,0,0,1,0.09090909090909091,6.611111111111111
66,paraphrased,14,108,7.714285714285714,34.25925925925926,15.74074074074074,8.333333333333332,2,31,0,6,6.233809523809526,0,0,3,6,0,0,1,0.07142857142857142,4.636363636363637
67,original,11,91,8.272727272727273,35.16483516483517,12.087912087912088,5.4945054945054945,4,20,3,7,6.546363636363637,3,0,3,4,0,1,1,0.09090909090909091,5.466666666666667
67,paraphrased,12,86,7.166666666666667,38.372093023255815,16.27906976744186,6.976744186046512,4,23,3,8,7.430542635658917,0,0,3,3,0,0,1,0.08333333333333333,4.882352941176471
68,original,11,142,12.909090909090908,40.845070422535215,14.788732394366196,9.15492957746479,4,41,2,8,13.994122919334188,1,0,4,5,1,3,1,0.09090909090909091,5.68
68,paraphrased,14,142,10.142857142857142,29.577464788732392,21.12676056338028,7.042253521126761,2,34,0,5,11.664527162977866,2,0,3,4,0,0,1,0.07142857142857142,4.928571428571429
69,original,12,98,8.166666666666666,41.83673469387755,8.16326530612245,3.061224489795918,5,23,4,11,5.207619047619048,4,0,0,0,11,1,1,0.08333333333333333,5.722222222222222
69,paraphrased,9,93,10.333333333333334,47.31182795698925,10.75268817204301,5.376344086021505,5,27,3,10,7.008924731182798,4,0,0,0,14,1,1,0.1111111111111111,6.6923076923076925
70,original,11,107,9.727272727272727,47.66355140186916,8.411214953271028,14.953271028037381,3,42,1,6,13.139056924384025,2,0,6,2,2,2,1,0.09090909090909091,7.2
70,paraphrased,12,96,8.0,40.625,16.666666666666664,15.625,2,34,0,6,12.385000000000002,3,0,6,0,0,0,1,0.08333333333333333,5.6875
71,original,12,99,8.25,49.494949494949495,10.1010101010101,12.121212121212121,4,32,5,6,13.056212121212123,3,0,5,2,1,4,1,0.08333333333333333,7.0
71,paraphrased,8,105,13.125,40.95238095238095,8.571428571428571,8.571428571428571,3,32,1,6,10.412500000000001,0,0,0,0,0,0,1,0.125,7.076923076923077
72,original,12,153,12.75,38.56209150326798,13.725490196078432,11.76470588235294,4,47,3,6,14.22813725490196,5,0,1,11,1,0,1,0.08333333333333333,6.6521739130434785
72,paraphrased,23,169,7.3478260869565215,30.17751479289941,13.609467455621301,10.650887573964498,3,44,2,6,6.5241497298687925,1,0,3,4,2,0,1,0.043478260869565216,4.514285714285714
73,original,18,131,7.277777777777778,38.93129770992366,19.083969465648856,10.687022900763358,5,39,2,7,11.774079728583548,7,1,7,2,0,1,1,0.05555555555555555,4.333333333333333
73,paraphrased,4,100,25.0,39.0,10.0,14.000000000000002,2,34,0,14,19.170000000000005,2,1,1,2,0,0,1,0.25,13.714285714285714
74,original,12,177,14.75,41.24293785310734,12.994350282485875,7.344632768361582,3,57,3,6,14.137542372881356,5,0,5,9,0,2,1,0.08333333333333333,7.695652173913044
74,paraphrased,20,154,7.7,33.116883116883116,14.935064935064934,5.844155844155844,3,41,1,5,7.29636363636364,4,0,2,0,0,1,1,0.05,4.7
75,original,12,145,12.083333333333334,35.86206896551724,18.620689655172416,10.344827586206897,3,41,2,7,14.78270114942529,6,0,5,1,1,1,1,0.08333333333333333,7.631578947368421
75,paraphrased,18,144,8.0,30.555555555555557,18.055555555555554,8.333333333333332,4,37,1,6,8.593333333333334,2,1,7,0,1,0,1,0.05555555555555555,5.185185185185185
76,original,23,136,5.913043478260869,40.44117647058824,16.176470588235293,3.6764705882352944,3,36,3,6,7.007698209718672,1,3,1,1,0,1,1,0.043478260869565216,4.689655172413793
76,paraphrased,24,153,6.375,50.326797385620914,10.457516339869281,3.9215686274509802,3,50,2,5,4.287696078431374,0,0,0,0,0,0,1,0.041666666666666664,5.185185185185185
77,original,11,190,17.272727272727273,40.526315789473685,8.421052631578947,16.315789473684212,4,60,4,11,15.593732057416268,5,0,4,6,12,2,1,0.09090909090909091,8.590909090909092
77,paraphrased,16,207,12.9375,42.028985507246375,7.246376811594203,11.11111111111111,4,69,3,8,8.936721014492758,4,0,2,3,10,0,1,0.0625,8.125
78,original,12,170,14.166666666666666,32.94117647058823,12.352941176470589,18.235294117647058,3,47,1,6,15.55686274509804,0,0,3,3,2,2,1,0.08333333333333333,6.8
